route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
0,2,"0","PL. WIELKOPOLSKI - PL. WIELKOPOLSKI","PL. WIELKOPOLSKI - pl. Wielkopolski - Gwarna - Święty Marcin - al. Marcinkowskiego - Strzelecka - Królowej Jadwigi - Górna Wilda - zajezdnia Madalińskiego - Głogowska - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - Fredry - pl. Wielkopolski - PL. WIELKOPOLSKI^M - kurs przez przystanek: Muzeum/Głogowska",0,FFFFFF,000000
1,2,"1","JUNIKOWO - FRANOWO|FRANOWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Reymonta - Hetmańska - Żegrze - Chartowo - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Głogowska/Hetmańska, Traugutta|FRANOWO - Piaśnicka - Chartowo - Żegrze - Hetmańska - Reymonta - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Starołęka",0,D0006F,FFFFFF
2,2,"2","OGRODY - DĘBIEC|DĘBIEC - OGRODY","OGRODY - Dąbrowskiego - Kraszewskiego - Zwierzyniecka - Święty Marcin - al. Marcinkowskiego - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Towarowa, Poznań Główny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Kaponiera, AWF, Pamiątkowa, Rondo Starołęka|DĘBIEC - Górna Wilda - Królowej Jadwigi - Strzelecka - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Zwierzyniecka - Kraszewskiego - Dąbrowskiego - OGRODY^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: AWF, Rondo Rataje, Ro ndo Starołęka",0,62B5E5,000000
5,2,"5","STOMIL - GÓRCZYN|GÓRCZYN - STOMIL","STOMIL - Starołęcka - Hetmańska - Żegrze - Chartowo - Trasa Kórnicka - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Roosevelta - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Rondo Żegrze, Os. Czecha^H - kurs do petli Górczyn z pominięciem przystanków: Os. Lecha, Marcinkowskiego, Rondo Kaponiera^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN - Roosevelta - Święty Marcin - al. Marcinkowskiego - Podgórna - Zielona - Mostowa - Kórnicka - Trasa Kórnicka - Chartowo - Żegrze - Hetmańska - Starołęcka - STOMIL^F - zjazd do zajezdni Franowo przez przystanek: Marcinkowskiego, Politechnika^G - zjazd do zajezdni Głogowska^H - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - kurs wydłużony do pętli Starołęka",0,6CC24A,000000
6,2,"6","MIŁOSTOWO - JUNIKOWO|JUNIKOWO - MIŁOSTOWO","MIŁOSTOWO - Warszawska - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Bukowska - Grunwaldzka - JUNIKOWO^F - zjazd do zajezdni Franowo przez przystanek: Kórnicka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Rataje, Bałtyk, Rondo Jezio rańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|JUNIKOWO - Bukowska - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Warszawska - MIŁOSTOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,009639,FFFFFF
7,2,"7","ZAWADY - OGRODY|OGRODY - ZAWADY","ZAWADY - Podwale - Jana Pawła II - Zamenhofa - Hetmańska - Reymonta - Przybyszewskiego - Dąbrowskiego - OGRODY^F - Zjazd do zajezdni Franowo  przez przystanek: Rondo Starołęka, Rondo Zegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Kórnicka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Starołęka|OGRODY - Przybyszewskiego - Reymonta - Hetmańska - Zamenhofa - Jana Pawła II - Podwale - ZAWADY^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Traugutta, Rondo Star ołęka",0,003594,FFFFFF
8,2,"8","GÓRCZYN - MIŁOSTOWO|MIŁOSTOWO - GÓRCZYN","GÓRCZYN - Głogowska - Roosevelta - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Warszawska - MIŁOSTOWO^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Traugutta, Rondo Star ołęka|MIŁOSTOWO - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Głogowska - GÓRCZYN^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Rondo Rataje, Rondo S tarołęka",0,DA291C,FFFFFF
9,2,"9","DĘBIEC - DĘBIEC","DĘBIEC - 28 Czerwca 1956 r. - Górna Wilda - Królowej Jadwigi - Strzelecka - al. Marcinkowskiego - pl. Wolności - Fredry - Roosevelta - Święty Marcin - al. Marcinkowskiego - Strzelecka - Królowej Jadwigi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^F - zjazd do zajezdni Franowo przez przystanek: Traugutta, AWF, Rondo Rataje^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^R - zjazd do zajezni Głogowska przez przytanek: AWF, Marcinkowskiego, Rondo Kaponie ra, Dworzec Zachodni^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Traugutta, AWF, Rondo Rataje^Z - zjazd do zajezni Forteczna (Starołęka) przez przystanek: AWF, Marcinkowskiego, Rondo Kaponiera, Marcinkowskiego, Rondo Rataje",0,FF671F,000000
10,2,"10","STAROŁĘKA - DĘBIEC|DĘBIEC - STAROŁĘKA","STAROŁĘKA - Starołęcka - Zamenhofa - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - Matyi - Wierzbięcice - 28 Czerwca 1956 r. - DĘBIEC^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Rataje, Rondo Śródka, Plac Wielkopolski, Rondo Kaponiera, Dworzec Zachodni^H - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC - Wierzbięcice - Matyi - Roosevelta - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Zamenhofa - Starołęcka - STAROŁĘKA^F - zjazd do zajezdni Franowo przez przystanek: Poznań Główny, Most Teatralny, Rond o Śródka, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,F1B434,000000
12,2,"12","STAROŁĘKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - STAROŁĘKA","STAROŁĘKA - Zamenhofa - Krzywoustego - Królowej Jadwigi - Matyi - Głogowska - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Kórnicka, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Głogowska - Matyi - Królowej Jadwigi - Krzywoustego - Zamenhofa - Starołęcka - STAROŁĘKA^F - zjazd do zajezdni Franowo przez przystanek:  Dworzec Zachodni, Rondo Rataje^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,CBA3D8,000000
13,2,"13","JUNIKOWO - STAROŁĘKA|STAROŁĘKA - JUNIKOWO","JUNIKOWO - Grunwaldzka - Bukowska - Święty Marcin - al. Marcinkowskiego - Podgórna - Zielona - Mostowa - Kórnicka - Jana Pawła II - Zamenhofa - Starołęcka - STAROŁĘKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Kórnicka^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|STAROŁĘKA - Zamenhofa - Jana Pawła II - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Gwarna - Święty Marcin - Bukowska - Grunwaldzka - JUNIKOWO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Rataje, Os. Lecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,AD841F,FFFFFF
14,2,"14","OS. SOBIESKIEGO - GÓRCZYN|GÓRCZYN - OS. SOBIESKIEGO","OS. SOBIESKIEGO - trasa PST - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Rondo Starołęk a, Rondo Żegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|GÓRCZYN - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Dworzec Zachodni, Rondo Rataje^G - zjazd do zajezdni Głogowska^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,946037,FFFFFF
15,2,"15","BUDZISZYŃSKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - BUDZISZYŃSKA","BUDZISZYŃSKA - Grunwaldzka - Bukowska - Roosevelta - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Marcinkowskiego, Os. Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Bałtyk, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Roosevelta - Bukowska - Grunwaldzka - BUDZISZYŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Marcinkowskiego^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,A2AAAD,000000
16,2,"16","FRANOWO - OS. SOBIESKIEGO|OS. SOBIESKIEGO - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Trasa Kórnicka - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Fredry - Roosevelta - trasa PST - OS. SOBIESKIEGO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Fredry - Gwarna - Święty Marcin - al. Marcinkowskiego - Podgórna - Zielona - Mostowa - Kórnicka - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Most Dworcowy^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,440099,FFFFFF
17,2,"17","STAROŁĘKA - OGRODY|OGRODY - STAROŁĘKA","STAROŁĘKA - Starołęcka - Hetmańska - Żegrze - Chartowo - Trasa Kórnicka - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Żegrze, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Os. Lecha, Rondo Śródka, Most Tea tralny^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Trasa Kórnicka - Chartowo - Żegrze - Hetmańska - Starołęcka - STAROŁĘKA^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,004F71,FFFFFF
18,2,"18","FRANOWO - OGRODY|OGRODY - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Trasa Kórnicka - Jana Pawła II - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Dąbrowskiego - OGRODY^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Kórnicka, Rondo Rataj e|OGRODY - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Dworzec Zachodni^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna przez przystanek: Poznań Główny, Rondo Rataje, Rond o Starołęka",0,FEDB00,000000
100,2,"100","NOWE ZOO - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - NOWE ZOO","NOWE ZOO - Krańcowa - Termalna - Jana Pawła II - Kórnicka - Mostowa - Zielona - Podgórna - al. Marcinkowskiego - pl. Wolności - Święty Marcin - Dworcowa - POZNAŃ GŁÓWNY^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.|POZNAŃ GŁÓWNY - Zwierzyniecka - Kraszewskiego - Solna - Garbary - Estkowskiego - Wyszyńskiego - Warszawska - Termalna - Krańcowa - NOWE ZOO^H - LINIA TURYSTYCZNA. OBOWIĄZUJE SPECJALNA TARYFA.",3,FFFFFF,000000
121,2,"121","MEISSNERA - OGRODY|OGRODY - MEISSNERA","MEISSNERA - Meissnera - Nowina - Szpitalna - OGRODY|OGRODY - Nowina - Meissnera - MEISSNERA",3,525252,FFFFFF
144,2,"144","KURPIŃSKIEGO - BORANTA|BORANTA - KURPIŃSKIEGO","KURPIŃSKIEGO - Księcia Mieszka I - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA|BORANTA - Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Księcia Mieszka I - KURPIŃSKIEGO",3,525252,FFFFFF
145,2,"145","DWORZEC ZACHODNI - KACZA|KACZA - DWORZEC ZACHODNI","DWORZEC ZACHODNI - Zachodnia - Berwińskiego - Wyspiańskiego - Przybyszewskiego - Marcelińska - Bułgarska - Jugosłowiańska - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Jugosłowiańska - Bułgarska - Marcelińska - Reymonta - Wyspiańskiego - Zachodnia - DWORZEC ZACHODNI",3,525252,FFFFFF
146,2,"146","STRZESZYN - BORANTA|BORANTA - STRZESZYN","STRZESZYN - Biskupińska - Strzeszyńska - Szarych Szeregów - Obornicka - Mateckiego - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Wiechowicza - Stoińskiego - Łużycka - Naramowicka - Boranta - BORANTA^L - kurs skrócony do przystanku: Os. Łokietka I|BORANTA - Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Mateckiego - Obornicka - Szarych Szeregów - Strzeszyńska - Biskupińska - STRZESZYN^S - kurs wydłużony do przystanku: Strzeszynek",3,525252,FFFFFF
148,2,"148","ŁAWICA - RONDO KAPONIERA|RONDO KAPONIERA - ŁAWICA","ŁAWICA - Złotowska - Brzechwy - Strzegomska - Marcelińska - Bułgarska - Bukowska - Zwierzyniecka - RONDO KAPONIERA|RONDO KAPONIERA - Bukowska - Bułgarska - Marcelińska - Strzegomska - Brzechwy - Bukowska - Perzycka - Złotowska - ŁAWICA",3,525252,FFFFFF
149,2,"149","GÓRCZYN - DĘBIEC|DĘBIEC - GÓRCZYN","GÓRCZYN - Zgoda - Głogowska - Ostatnia - Bohaterów Westerplatte - Kołłątaja - Opolska - Jesionowa - Górecka - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - DĘBIEC|DĘBIEC - Łozowa - Czechosłowacka - Górecka - Jesionowa - Opolska - Kołłątaja - Bohaterów Westerplatte - Ostatnia - Głogowska - Zgoda - GÓRCZYN",3,525252,FFFFFF
