id,code,name,lat,lon,zone_id
23,ALSO42,Aleje Solidarności,52.4359820600,16.9199740600,A
24,ALSO41,Aleje Solidarności,52.4359483100,16.9202087300,A
99,ARCI42,Arciszewskiego,52.3926985000,16.8869293500,A
100,ARCI41,Arciszewskiego,52.3928844400,16.8867070100,A
101,AREN41,Arena,52.3972781800,16.8883695100,A
102,AREN42,Arena,52.3977717600,16.8884247200,A
171,AWF42,AWF,52.3998200000,16.9355700000,A
172,AWF41,AWF,52.3992400000,16.9343000000,A
173,AWF73,AWF,52.3990100000,16.9360200000,A
84,BALT71,Bałtyk,52.4065890000,16.9110520000,A
85,BALT42,Bałtyk,52.4065000000,16.9110600000,A
152,BAKA41,Baraniaka,52.4039501500,16.9541778000,A
153,BAKA42,Baraniaka,52.4037693100,16.9543871300,A
1699,BUDZ41,Budziszyńska,52.3885462000,16.8497230600,A
1700,BUDZ42,Budziszyńska,52.3884567400,16.8498179200,A
2743,BUDZ43,Budziszyńska,52.3884800000,16.8481800000,A
2744,BUDZ44,Budziszyńska,52.3882600000,16.8477980000,A
66,BUKO42,Bukowska,52.4100013000,16.8886379300,A
67,BUKO41,Bukowska,52.4100521300,16.8888257200,A
197,BYST41,Bystra,52.3709991833,16.9345268592,A
198,BYST42,Bystra,52.3714098300,16.9349624900,A
1703,CMNA41,Cmentarna,52.3851815900,16.8390540000,A
1704,CMNA42,Cmentarna,52.3850653100,16.8391843000,A
192,DEEC41,Dębiec,52.3728856000,16.9031857800,A
193,DEEC42,Dębiec,52.3730591500,16.9038313800,A
77,DRZE42,Drzewieckiego,52.3965900200,16.8668666900,A
78,DRZE41,Drzewieckiego,52.3968382200,16.8675472100,A
88,DWZA71,Dworzec Zachodni,52.4017177600,16.9088064600,A
89,DWZA72,Dworzec Zachodni,52.4017716400,16.9090824300,A
1686,DWZA42,Dworzec Zachodni,52.4011437400,16.9100521100,A
1687,DWZA41,Dworzec Zachodni,52.4011157600,16.9102571900,A
1,FRWO41,Franowo,52.3814339100,17.0003228700,A
221,FRWO42,Franowo,52.3816632800,17.0014708200,A
117,FRRY41,Fredry,52.4093200000,16.9192700000,A
118,FRRY42,Fredry,52.4094800000,16.9184700000,A
94,GLHE44,Głogowska/Hetmańska,52.3897983100,16.8949471800,A
95,GLHE43,Głogowska/Hetmańska,52.3899860700,16.8946848200,A
96,GLHE71,Głogowska/Hetmańska,52.3905273700,16.8944754200,A
97,GLHE45,Głogowska/Hetmańska,52.3903874400,16.8935347900,A
98,GLHE06,Głogowska/Hetmańska,52.3902737400,16.8935651400,A
1631,GLHE72,Głogowska/Hetmańska,52.3906050800,16.8948032700,A
1690,GORC41,Górczyn,52.3814366000,16.8810077200,A
1691,GORC42,Górczyn,52.3810061700,16.8812332000,A
75,GROC41,Grochowska,52.3989629500,16.8758472200,A
76,GROC42,Grochowska,52.3988983700,16.8760071400,A
1705,GROT71,Grotkowska,52.3865628400,16.8439037400,A
1706,GROT72,Grotkowska,52.3865437000,16.8441191000,A
174,GWAR71,Gwarna,52.4073590000,16.9211080000,A
189,HCP41,HCP,52.3824324900,16.9119498800,A
226,HCP42,HCP,52.3815242000,16.9113663400,A
183,HEWI42,Hetmańska Wiadukt,52.3826620500,16.9294650500,A
184,HEWI41,Hetmańska Wiadukt,52.3827743900,16.9292470600,A
1707,JUNI42,Junikowo,52.3834200000,16.8345000000,A
1708,JUNI43,Junikowo,52.3838300000,16.8356600000,A
1709,JUNI41,Junikowo,52.3836600000,16.8338300000,A
130,KATE42,Katedra,52.4100987400,16.9471314700,A
131,KATE41,Katedra,52.4100296800,16.9473154100,A
103,KOLE42,Kolejowa,52.3870352600,16.9028994200,A
104,KOLE41,Kolejowa,52.3871894000,16.9027620200,A
107,KOSI71,Kosińskiego,52.3893013500,16.9182392900,A
108,KOSI72,Kosińskiego,52.3894819500,16.9187176400,A
158,KORN41,Kórnicka,52.3987998700,16.9520989000,A
159,KORN42,Kórnicka,52.3987724600,16.9522537500,A
160,KORN43,Kórnicka,52.3990164300,16.9534845600,A
161,KORN44,Kórnicka,52.3991553500,16.9533801200,A
162,KORN45,Kórnicka,52.3998253300,16.9528595100,A
144,KRAN42,Krańcowa,52.4094277500,16.9810464800,A
145,KRAN41,Krańcowa,52.4093202300,16.9812458100,A
1694,KRAS42,Kraszewskiego,52.4089536100,16.9033531800,A
1695,KRAS71,Kraszewskiego,52.4091315800,16.9028608300,A
1087,KRAU72,Krauthofera,52.3869666500,16.8908748900,A
1088,KRAU71,Krauthofera,52.3875876200,16.8913676500,A
27,KURP42,Kurpińskiego,52.4507481400,16.9194124100,A
28,KURP41,Kurpińskiego,52.4507725100,16.9196313300,A
25,LECH42,Lechicka Poznań Plaza,52.4424734100,16.9198205300,A
26,LECH41,Lechicka Poznań Plaza,52.4425062700,16.9200857100,A
169,LAKO41,Łąkowa,52.4019500000,16.9342500000,A
170,LAKO42,Łąkowa,52.4020600000,16.9342900000,A
146,LOMZ42,Łomżyńska,52.4096310300,16.9851960400,A
147,LOMZ41,Łomżyńska,52.4095056700,16.9853441700,A
128,MAGA41,Małe Garbary,52.4107493300,16.9374709200,A
129,MAGA42,Małe Garbary,52.4108894900,16.9372306700,A
120,MRCI71,Marcinkowskiego,52.4064212100,16.9284599000,A
121,MRCI72,Marcinkowskiego,52.4073055900,16.9288885500,A
83,MATE71,Matejki,52.4057875800,16.9009328700,A
750,MATE42,Matejki,52.4052269000,16.8994038000,A
150,MILO42,Miłostowo,52.4101993000,17.0025350800,A
151,MILO41,Miłostowo,52.4096098600,17.0029011200,A
3879,MOGI42,Mogileńska,52.4097647200,16.9923322400,A
3880,MOGI41,Mogileńska,52.4097737200,16.9925831100,A
86,MODW71,Most Dworcowy,52.4040015200,16.9110290500,A
87,MODW72,Most Dworcowy,52.4038694800,16.9111204500,A
239,MORO71,Most Św. Rocha,52.4026611500,16.9423726100,A
240,MORO72,Most Św. Rocha,52.4027711600,16.9422831200,A
4,MT72,Most Teatralny,52.4107374400,16.9126471700,A
5,MT44,Most Teatralny,52.4109651200,16.9137425100,A
6,MT73,Most Teatralny,52.4103354900,16.9143484000,A
1688,MT46,Most Teatralny,52.4116333700,16.9144439600,A
1689,MT45,Most Teatralny,52.4115747100,16.9147002100,A
1772,MT71,Most Teatralny,52.4100216300,16.9131850300,A
3199,MUGL22,Muzeum/Głogowska,52.3878720518,16.8930581061,A
58,OGDY41,Ogrody,52.4170536400,16.8824626700,A
59,OGDY42,Ogrody,52.4163628200,16.8829024900,A
209,OCZ71,Os. Czecha,52.3861726200,16.9754798600,A
210,OCZ72,Os. Czecha,52.3861128400,16.9756493300,A
